author,reviewDate,ratings,reviewText,reviewReplyText,reviewReplyDate,profileLink,startMessageLink
deltafxteam,2026.03.16 02:52,,"Excellent EA so far. I started with just $100 on February 16, and in only one month the account has already grown to $194. In the same period, another account started with $600 and grew to $850. I am very impressed with the overall performance, the consistency, and the way this EA manages trades.",,,https://www.mql5.com/en/users/deltafxteam,
Taso Iliakis,2026.03.15 14:45,,Worth every cent this EA and is by far the most reliable and best performing! you cant go wrong with this!!! QQ is a performance monster!!!,,,https://www.mql5.com/en/users/tasomt,
spankler,2026.03.15 13:27,,"I recently started using the Quantum Queen EA, and have been having a really positive experience so far. I like that it is simple and straightforward, and everything feels beginner-friendly but still powerful enough to actually do the job. Of course, all trading has risk, but this one seems designed to manage it well, which gives me more confidence running it. I also think Bogdan is honest about the risks involved and warns users using notably extreme risk levels, and promotes trading for the long-term and sustainabilty, which I agree with personally. I also want to mention the support team whom have been great. They helped me get everything set up and were quick to answer any questions I had along the way. Overall, I’ve really enjoyed using Quantum Queen EA so far and I’m excited to keep running it and see how it performs over time. I'm also interested in looking to diversify my portfolio, and to extend my trading to other Quantum EAs over time!",,,https://www.mql5.com/en/users/spankler,
Scootamous,2026.03.14 17:05,,"After 'umming and arring' over this EA for this months the momentous reviews/backtests convinced me. I'd probably sunk a few thousand already into cheaper EA's as well as trying to build my own. I feel now that the lesson has been learnt, Bogdan and his team truly are what everyone says. QQ hasn't traded since Monday 9th, where it made solid gains, but it leaves me with the satisfaction of knowing my account is in safe hands of an EA that only trades in perfect conditions. So far I really am happy with the EA, and have no doubts I'll need to come back and amend my review. Thanks Bogdan!",,,https://www.mql5.com/en/users/scootamous,
Marouane78,2026.03.13 19:53,,Best EA ive seen . I am testing it since 1 months and its crazy how qq is good. Thank you very much bogdan !!!,,,https://www.mql5.com/en/users/marouane78,
deepak parjapati,2026.03.13 10:46,,"I purchased the Quantum Queen Bot on 20 February 2026. Before buying it, I had been monitoring this bot for around 6–7 months, when its price was around $1200. However, I kept delaying the purchase because I was not completely sure whether it would be worth it or not. Now it has been almost one month since I started using the bot. I wouldn’t say that it is life-changing, but with simple risk management it can provide stable returns. For example, in the last 20 days, the bot generated around 13% return on my total capital, which I think is quite good. Another positive thing is the customer support from the team. They guide you properly so you can understand how to use the bot and what settings might work best for your account. Also, connecting the bot with your trading account is not very complicated. If you are thinking about purchasing a trading bot, Quantum Queen is a good option in my experience. Honestly, I feel I wasted 6–7 months just backtesting and doubting it, instead of using it earlier.",,,https://www.mql5.com/en/users/deepakparjapati,
Cindy Yu,2026.03.11 08:41,,Quantum Queen really satisfied me! All orders are with profits till now!,Thank you for your review! I’m glad to hear Quantum Queen is treating you well and performing strongly for you!,2026.03.11 10:17,https://www.mql5.com/en/users/420587409,
Enrique Sosa Gonzalez,2026.03.11 06:53,,"Buen EA aun estoy en pruebas pero se ve que tiene calidad y va a lo seguro ,el trato que te ofrece Bogdan Ion Puscasu es inmejorable te responde de inmediato y atiende a todas tus dudas y se completa con el canal de discord donde tienes también soporte y ayuda de otros usuarios , lo recomiendo a pesar de su precio.","Thank you for your review, Enrique! I’m glad to hear that you see the focus on quality and the careful approach behind the strategy. I also truly appreciate your kind words about the service. Providing fast, clear, and reliable support is something I take very seriously, and it means a lot that you noticed the effort and responsiveness. The Discord community is another important part of the Quantum Queen experience. It’s great to see users helping each other, sharing insights, and creating a space where everyone can learn and get assistance when needed.",2026.03.11 08:17,https://www.mql5.com/en/users/6942gxv,
Alex Palex,2026.03.10 13:12,,"I'm with Quantum Queen for 2 weeks. Strategies work. With the pace like that it will pay for itself within 2 months maximum. EA places both long and short trades, manages losses gracefully and comes to work on time :) Settings are clear. Support is straight and to the point.","Thank you for taking the time to share your experience, Alex! It’s great to hear that the performance is already meeting your expectations and that the strategy is showing its strength early on. I’m also glad the setup and configuration felt straightforward. A lot of effort went into making the settings clear and easy to work with so users can get started quickly without unnecessary complexity. And of course, support is something I take very seriously. When questions come up, my goal is always to provide clear and direct answers so you can stay focused on trading without confusion.",2026.03.11 08:13,https://www.mql5.com/en/users/anadych287,
Wiktor Kiczka,2026.03.09 20:06,,User didn't leave any comment to the rating,"Thank you so much for taking the time to share such a thorough review, Wiktor! I’m really glad to hear that you’ve noticed the precision and quality of Quantum Queen’s execution. Accurate entries and exits, along with avoiding random or unnecessary trades, are exactly what I designed the EA for — it’s encouraging to see that the consistency and disciplined trade management are evident in live conditions. It’s equally important to me that users feel supported, and I’m glad you’ve found my assistance helpful. The active Discord community is another resource I value highly — sharing settings, observations, and practical tips helps everyone optimize their setups and navigate the markets more confidently. I’m also pleased to see that the EA has delivered positive results for you, and that you’re applying proper risk and money management. Treating Quantum Queen as a professional expert advisor — with careful risk controls and sensible position sizing — is exactly the approach that leads to long-term success. Your understanding of this shows you’re using the EA in the way it was designed to be used, which is very rewarding to see. Thank you again for the detailed feedback and for highlighting all these key aspects",2026.03.10 08:15,https://www.mql5.com/en/users/wiktorkiczka,
wx7223402,2026.03.09 12:48,,"Quantum Queen EA boasts an exceptionally high win rate and strong profitability, but it's important to note that you must be mindful of risks unless your capital is sufficiently substantial.",Thanks for sharing your experience! I’m really happy to hear that Quantum Queen has been performing strongly and delivering good results. I also appreciate your note about managing risks carefully — it’s key to use proper risk and money management for long-term success.,2026.03.10 08:10,https://www.mql5.com/en/users/wx7223402,
Andreas Fernandez,2026.03.07 10:35,,"I’ve only been running Quantum Queen for a week now, but it’s already clear that this isn't your typical ""gambling"" EA. It’s very selective and waits for the right market structure before entering. A vital tip for anyone starting: you absolutely must use a broker with super-low spreads and high-quality fills. The precision of the entries is top-notch, so you don't want to waste that edge on poor execution. So far, the growth is stable and the risk management feels very secure. Bogdan has also been incredibly responsive during my first week of testing. Highly recommended for those who value quality over quantity!","Thank you for taking the time to share such thoughtful feedback, Andreas. I really appreciate it. You pointed out something very important about Quantum Queen. It was never designed to behave like the typical “gambling” EAs you often see on the market. The focus from the very beginning was to build a professional, premium system that prioritizes precision and discipline. The EA is intentionally selective and waits patiently for the right market structure before acting. Thank you as well for mentioning the support. I always try to be as responsive as possible, especially when someone is starting out, because a proper setup and understanding of the EA is essential. And most importantly, I appreciate that you recognize the effort and philosophy behind the development of Quantum Queen. That means a lot. Thank you for the recommendation and I wish you continued success with it.",2026.03.07 12:03,https://www.mql5.com/en/users/ante042,
